;momentum;learning rate;batch size;loss1;acc1;loss2;acc2;loss3;acc3;epoch_stopped1;epoch_stopped2;epoch_stopped3;reg_penalty
0;0.7;0.01;256.0;3.1554226875305176;0.4878048896789551;3.1999452114105225;0.48083624243736267;3.1336185932159424;0.5435540080070496;50.0;50.0;50.0;0.001
1;0.6;0.01;256.0;3.2737433910369873;0.4947735071182251;3.2778944969177246;0.4146341383457184;3.24700665473938;0.4843205511569977;50.0;50.0;50.0;0.001
2;0.7;0.01;256.0;2.9859349727630615;0.46689894795417786;2.861966609954834;0.5574913024902344;2.873736619949341;0.5783972144126892;100.0;100.0;100.0;0.001
3;0.6;0.01;256.0;3.0477678775787354;0.5087108016014099;3.0657851696014404;0.45644599199295044;2.84407901763916;0.6794425249099731;100.0;100.0;100.0;0.001
4;0.7;0.01;256.0;2.483067750930786;0.7212543487548828;2.5079433917999268;0.6794425249099731;2.481895923614502;0.7108014225959778;150.0;150.0;150.0;0.001
5;0.6;0.01;256.0;2.8585638999938965;0.5749129056930542;2.642348527908325;0.7108014225959778;3.309098720550537;0.5818815231323242;150.0;150.0;150.0;0.001
6;0.7;0.01;256.0;1.3548146486282349;0.47038328647613525;1.3688511848449707;0.45993030071258545;1.3110275268554688;0.5226480960845947;50.0;50.0;50.0;0.0001
7;0.6;0.01;256.0;1.4029626846313477;0.4146341383457184;1.3809819221496582;0.46341463923454285;1.32256019115448;0.5087108016014099;50.0;50.0;50.0;0.0001
8;0.7;0.01;256.0;1.0526041984558105;0.6585366129875183;1.1917877197265625;0.6062718033790588;1.0778008699417114;0.6550522446632385;100.0;100.0;100.0;0.0001
9;0.6;0.01;256.0;1.3059148788452148;0.445993036031723;1.242659568786621;0.5749129056930542;1.1374003887176514;0.6132404208183289;100.0;100.0;100.0;0.0001
10;0.7;0.01;256.0;0.9971674084663391;0.7142857313156128;0.9933973550796509;0.693379819393158;1.2003099918365479;0.6689895391464233;150.0;150.0;150.0;0.0001
