;momentum;learning rate;batch size;loss1;acc1;loss2;acc2;loss3;acc3;epoch_stopped1;epoch_stopped2;epoch_stopped3;reg_penalty
0;0.7;0.1;64.0;1.1553337574005127;0.595818817615509;1.352832317352295;0.5400696992874146;1.0768845081329346;0.6585366129875183;50.0;50.0;50.0;0.01
1;0.6;0.1;64.0;1.0550904273986816;0.6585366129875183;1.1152516603469849;0.6620209217071533;1.0569360256195068;0.6445993185043335;50.0;50.0;50.0;0.01
2;0.7;0.1;64.0;1.108867883682251;0.6480836272239685;1.083756685256958;0.700348436832428;1.1298487186431885;0.6655052304267883;100.0;100.0;100.0;0.01
3;0.6;0.1;64.0;1.1607118844985962;0.6480836272239685;1.3045032024383545;0.5749129056930542;1.2196298837661743;0.6062718033790588;100.0;100.0;100.0;0.01
4;0.7;0.1;64.0;1.0973137617111206;0.7108014225959778;1.172504186630249;0.6829268336296082;1.3107600212097168;0.5749129056930542;150.0;150.0;150.0;0.01
5;0.6;0.1;64.0;1.1690878868103027;0.6724738478660583;1.068824291229248;0.6829268336296082;1.192204475402832;0.6655052304267883;150.0;150.0;150.0;0.01
6;0.7;0.1;64.0;0.9440097212791443;0.7770034670829773;1.0937752723693848;0.707317054271698;1.0469621419906616;0.7177700400352478;50.0;50.0;50.0;0.001
7;0.6;0.1;64.0;1.3144952058792114;0.707317054271698;1.1280640363693237;0.6829268336296082;1.0598835945129395;0.7282230257987976;50.0;50.0;50.0;0.001
8;0.7;0.1;64.0;1.2307029962539673;0.7108014225959778;1.0311442613601685;0.7351916432380676;1.169729471206665;0.700348436832428;100.0;100.0;100.0;0.001
9;0.6;0.1;64.0;1.0175745487213135;0.7491289377212524;1.1213939189910889;0.700348436832428;1.0301356315612793;0.7421602606773376;100.0;100.0;100.0;0.001
10;0.7;0.1;64.0;1.263339877128601;0.7421602606773376;1.1590105295181274;0.7247386574745178;1.2211099863052368;0.7595818638801575;150.0;150.0;150.0;0.001
11;0.6;0.1;64.0;1.212615728378296;0.7839721441268921;1.3714402914047241;0.7386759519577026;1.1324149370193481;0.7456446290016174;150.0;150.0;150.0;0.001
12;0.7;0.1;64.0;1.2155494689941406;0.6794425249099731;1.0164066553115845;0.7142857313156128;0.9592287540435791;0.7247386574745178;50.0;50.0;50.0;0.0001
13;0.6;0.1;64.0;1.1302863359451294;0.696864128112793;0.8086258769035339;0.7874564528465271;0.9753873944282532;0.7526132464408875;50.0;50.0;50.0;0.0001
14;0.7;0.1;64.0;1.1710319519042969;0.7456446290016174;1.1237484216690063;0.7456446290016174;1.0985437631607056;0.7560975551605225;100.0;100.0;100.0;0.0001
15;0.6;0.1;64.0;1.1193037033081055;0.7421602606773376;1.0845134258270264;0.7386759519577026;1.1279035806655884;0.7630661725997925;100.0;100.0;100.0;0.0001
16;0.7;0.1;64.0;1.368829607963562;0.7456446290016174;1.3291178941726685;0.7665505409240723;1.210028052330017;0.7700348496437073;150.0;150.0;150.0;0.0001
