;Unnamed: 0;momentum;learning rate;batch size;loss1;acc1;loss2;acc2;loss3;acc3;widing factor;epoch_stopped;reg_penalty
0;0;0.9;0.1;64.0;0.9404099583625792;0.7015706896781921;1.201603651046753;0.5567190051078796;1.026413083076477;0.6666666865348816;2.0;50.0;0.01
1;1;0.9;0.1;64.0;1.059483289718628;0.6910994648933411;1.3307008743286133;0.6300174593925476;1.1915992498397827;0.6666666865348816;2.0;100.0;0.01
2;2;0.9;0.1;64.0;1.6917444467544556;0.584642231464386;1.1477786302566528;0.6666666865348816;1.3055940866470337;0.6038394570350647;2.0;150.0;0.01
3;3;0.9;0.1;64.0;1.7063168287277222;0.5759162306785583;1.2867026329040527;0.6753926873207092;1.279417634010315;0.6527050733566284;2.0;50.0;0.001
4;4;0.9;0.1;64.0;1.1268129348754885;0.6771378517150879;1.4853564500808716;0.6178010702133179;1.4643303155899048;0.650959849357605;2.0;100.0;0.001
0;0;0.9;0.1;64.0;1.0960816144943235;0.6963350772857666;1.1038966178894043;0.69808030128479;1.4467449188232422;0.6003490686416626;2.0;150.0;0.001
1;1;0.9;0.1;64.0;0.9574461579322816;0.6492146849632263;0.8818584084510803;0.6910994648933411;0.986820638179779;0.6631762385368347;2.0;50.0;0.0001
2;2;0.9;0.1;64.0;1.169924020767212;0.6684118509292603;1.0176658630371094;0.657940685749054;1.1900607347488403;0.6701570749282837;2.0;100.0;0.0001
3;3;0.9;0.1;64.0;1.460904598236084;0.6387434601783752;1.319284200668335;0.6561954617500305;1.2835091352462769;0.6753926873207092;2.0;150.0;0.0001
4;4;0.9;0.1;128.0;0.9905993342399596;0.687609076499939;0.9682115316390992;0.7207679152488708;1.2813193798065186;0.5898778438568115;2.0;50.0;0.01
5;5;0.9;0.1;128.0;1.1999167203903198;0.6317626237869263;1.4998321533203125;0.5567190051078796;1.9917887449264529;0.5689354538917542;2.0;100.0;0.01
0;0;0.9;0.1;128.0;1.5647937059402466;0.547993004322052;1.872178316116333;0.5095986127853394;1.456939458847046;0.4904013872146606;2.0;150.0;0.01
1;1;0.9;0.1;128.0;2.700709104537964;0.3839441537857056;1.5208997726440432;0.6684118509292603;1.8278783559799197;0.614310622215271;2.0;50.0;0.001
2;2;0.9;0.1;128.0;1.4129886627197266;0.6020942330360413;1.5413206815719604;0.6527050733566284;1.3898710012435913;0.657940685749054;2.0;100.0;0.001
3;3;0.9;0.1;128.0;1.583147048950195;0.6527050733566284;1.3800023794174194;0.7033158540725708;1.33021342754364;0.661431074142456;2.0;150.0;0.001
4;4;0.9;0.1;128.0;0.8729613423347473;0.6858638525009155;1.1708348989486694;0.6282722353935242;1.2038629055023191;0.5410122275352478;2.0;50.0;0.0001
0;0;0.9;0.1;128.0;1.1735432147979736;0.6404886841773987;0.9094660878181458;0.6945898532867432;1.2168124914169312;0.6090750694274902;2.0;100.0;0.0001
1;1;0.9;0.1;128.0;1.1119606494903564;0.661431074142456;1.243976354598999;0.6596858501434326;1.733457088470459;0.554973840713501;2.0;150.0;0.0001
2;2;0.9;0.1;256.0;1.9447736740112305;0.5061082243919373;1.8548288345336916;0.6055846214294434;1.9979448318481443;0.5165793895721436;2.0;50.0;0.01
3;3;0.9;0.1;256.0;1.162055492401123;0.6457242369651794;1.7625709772109983;0.4589877724647522;1.441927194595337;0.5445026159286499;2.0;100.0;0.01
4;4;0.9;0.1;256.0;4.837464809417725;0.2844677269458771;1.2116774320602417;0.6038394570350647;0.994385063648224;0.6719022393226624;2.0;150.0;0.01
0;0;0.9;0.1;256.0;2.8015422821044917;0.3821989595890045;1.9078407287597656;0.5636998414993286;2.1554021835327153;0.4554973840713501;2.0;50.0;0.001
1;1;0.9;0.1;256.0;1.4863673448562622;0.69808030128479;2.5178518295288086;0.4677137732505798;1.5984847545623782;0.6439790725708008;2.0;100.0;0.001
2;2;0.9;0.1;256.0;1.3918627500534058;0.6788830757141113;1.506904125213623;0.6719022393226624;1.457933783531189;0.6823734641075134;2.0;150.0;0.001
3;3;0.9;0.1;256.0;1.3761038780212402;0.4118673503398895;1.0914967060089111;0.5759162306785583;1.0943349599838257;0.6335078477859497;2.0;50.0;0.0001
4;4;0.9;0.1;256.0;1.3694990873336792;0.5340313911437988;0.9519584178924559;0.6701570749282837;1.089860200881958;0.6317626237869263;2.0;100.0;0.0001
0;0;0.9;0.1;256.0;0.9795980453491212;0.6527050733566284;1.0172466039657593;0.7050610780715942;1.5305635929107666;0.5305410027503967;2.0;150.0;0.0001
1;1;0.9;0.01;64.0;5.126638889312744;0.4328097701072693;5.0779075622558585;0.4956369996070862;5.165662288665772;0.5148342251777649;2.0;50.0;0.01
2;2;0.9;0.01;64.0;2.570767879486084;0.5532286167144775;2.513493299484253;0.4904013872146606;2.446187734603882;0.5654450058937073;2.0;100.0;0.01
3;3;0.9;0.01;64.0;2.1953771114349365;0.5305410027503967;1.3181114196777344;0.7068063020706177;1.561503529548645;0.6404886841773987;2.0;150.0;0.01
4;4;0.9;0.01;64.0;2.125417709350586;0.4729493856430054;2.0842936038970947;0.5148342251777649;2.167508840560913;0.5061082243919373;2.0;50.0;0.001
0;0;0.9;0.01;64.0;1.792072892189026;0.6823734641075134;2.0852012634277344;0.5410122275352478;1.8851243257522583;0.62129145860672;2.0;100.0;0.001
1;1;0.9;0.01;64.0;1.9305874109268188;0.5706806182861328;1.8759949207305908;0.5828970074653625;1.96375572681427;0.5270506143569946;2.0;150.0;0.001
